13 5 3
0.81130278 0.40675363 0.13329773 0.18369765 -0.11431609
0.13463884 -0.03087649 0.20113811 -0.16801377 -0.37345200
0.59414049 0.26098339 0.13143530 0.08396630 -0.16218935
-0.22218118 -0.25989996 0.20408980 -0.32885861 -0.44306557
0.55961437 0.30099457 0.03074333 0.19120181 0.03189161
0.01016953 0.09084093 -0.16958884 0.17663438 0.39787373
-0.05480421 0.14919720 -0.36480869 0.34554320 0.79019689
-0.36085421 -0.35216681 0.21612437 -0.40509931 -0.46899031
0.06938359 0.08671389 -0.10698359 0.14614216 0.28456281
0.63801488 0.15988623 0.43221835 -0.17930319 -0.76425746
-0.45847824 -0.09268411 -0.33321136 0.14530570 0.67307070
-0.17856998 0.11301070 -0.42222041 0.35581245 0.90210193
1.01786531 0.62064556 -0.04741331 0.46022940 0.30146672
-0.78431442 -0.46795590 -0.03073090 -0.32824498 0.00077139
1.32757366 -1.51806782 0.33430129
0.94405943 -0.62768390 -0.14967008
-0.33825262 -0.46160857 0.72970157
0.86492227 -0.15220041 -0.60264268
1.08215655 0.79336969 -1.50662523
0.13685326 1.13254102 0.58940823
